item_id,store_code,shortage_cost,overage_cost,target_inventory_14d,cold_start_fallback,coordinated_inventory_14d,allocation_delta,national_target_inventory_14d,rounded_national_target_inventory_14d,allocated_sum_14d,reconciliation_gap,national_quantization_error
33,1,14.64,26.2,5.560270622052364e-05,False,0.0,-5.560270622052364e-05,3.9186687306714543,3.9,3.9,0.0,-0.01866873067145436
33,2,12.68,22.68,0.5223348564625137,False,1.9,1.3776651435374863,3.9186687306714543,3.9,3.9,0.0,-0.01866873067145436
33,3,21.16,37.84,0.02145297206256876,False,0.0,-0.02145297206256876,3.9186687306714543,3.9,3.9,0.0,-0.01866873067145436
33,4,19.04,34.04,1.7046993898471625,False,1.7,-0.004699389847162561,3.9186687306714543,3.9,3.9,0.0,-0.01866873067145436
33,5,23.8,42.56,0.3041421954596451,False,0.3,-0.004142195459645115,3.9186687306714543,3.9,3.9,0.0,-0.01866873067145436
132,1,13.4,25.16,5.467983972723694e-05,False,0.0,-5.467983972723694e-05,0.3387396920854147,0.3,0.3,0.0,-0.03873969208541472
132,2,11.6,21.8,0.0,False,0.3,0.3,0.3387396920854147,0.3,0.3,0.0,-0.03873969208541472
132,3,19.32,36.36,0.0,False,0.0,0.0,0.3387396920854147,0.3,0.3,0.0,-0.03873969208541472
132,4,17.4,32.72,5.455248218709528e-05,False,0.0,-5.455248218709528e-05,0.3387396920854147,0.3,0.3,0.0,-0.03873969208541472
132,5,21.76,40.88,5.4632203472528134e-05,False,0.0,-5.4632203472528134e-05,0.3387396920854147,0.3,0.3,0.0,-0.03873969208541472
330,1,9.24,29.2,1.496625044298521e-05,False,0.0,-1.496625044298521e-05,0.033713821648015715,0.0,0.0,0.0,-0.033713821648015715
330,2,8.0,25.28,1.4969959367064045e-05,False,0.0,-1.4969959367064045e-05,0.033713821648015715,0.0,0.0,0.0,-0.033713821648015715
330,3,13.36,42.16,1.5062404566943002e-05,False,0.0,-1.5062404566943002e-05,0.033713821648015715,0.0,0.0,0.0,-0.033713821648015715
330,4,12.0,37.96,1.4898616772192618e-05,False,0.0,-1.4898616772192618e-05,0.033713821648015715,0.0,0.0,0.0,-0.033713821648015715
330,5,15.0,47.44,0.0,False,0.0,0.0,0.033713821648015715,0.0,0.0,0.0,-0.033713821648015715
549,1,13.12,29.0,1.844191342042159,False,1.8,-0.04419134204215891,9.523095958979656,9.5,9.5,0.0,-0.023095958979656217
549,2,11.36,25.12,1.4288354925235462,False,3.1,1.6711645074764538,9.523095958979656,9.5,9.5,0.0,-0.023095958979656217
549,3,18.96,41.88,0.9583579839193728,False,1.0,0.04164201608062723,9.523095958979656,9.5,9.5,0.0,-0.023095958979656217
549,4,17.04,37.72,1.8539787410082762,False,1.9,0.04602125899172371,9.523095958979656,9.5,9.5,0.0,-0.023095958979656217
549,5,21.32,47.12,1.7305268582255775,False,1.7,-0.030526858225577547,9.523095958979656,9.5,9.5,0.0,-0.023095958979656217
582,1,14.24,5.48,4.63027003935513,False,2.5,-2.13027003935513,12.276844521571569,12.3,12.299999999999999,-1.7763568394002505e-15,0.02315547842843202
