feature,mean_gain
demand_mean_28,359488.1859415372
cart_uv_sum_28,338106.52911980945
zero_rate_84,299497.77243264514
item_id,221792.42027680078
cart_uv_sum_14,196311.00271177292
supplier_id,88975.63813702266
demand_mean_56,77556.31232611339
adi_84,45615.04368480047
qty_gmv_sum_14,42057.0223291715
pay_uv_sum_14,36550.84101104736
days_since_first_observed,32272.27207438151
demand_std_28,23336.466946601868
cart_rate_14,13866.639103094736
demand_mean_14,10611.320436795553
demand_today,6007.432131767273
demand_mean_7,5955.078427155812
demand_lag_1,4389.00791867574
collect_uv_sum_14,3723.6499524116516
brand_id,3475.070091088613
demand_sum_28,3303.2752974828086
demand_lag_7,3179.0047992070517
history_days_total,3154.0404149691262
history_days_84,2832.018270174662
qty_alipay_sum_14,2526.3844167391458
scope,2493.8218936920166
demand_sum_7,2430.931334336599
nonzero_demand_mean_84,2060.478347937266
observed_rate_84,2047.1317547162373
pv_uv_sum_14,1865.065275669098
store_code,1593.0008063316345
cv2_84,1528.7402791976929
demand_trend_7_28,1485.3023419380188
demand_std_7,1462.4166377385457
ztc_pv_uv_sum_14,1294.5111274719238
demand_lag_14,1241.8062510490417
demand_std_14,1223.49933942159
ss_pv_uv_sum_14,1128.354260603587
nonzero_demand_std_84,969.4844727516174
demand_lag_28,928.2383321126302
demand_sum_56,884.7629574139913
pay_rate_14,882.4584245681763
nonzero_days_84,795.4496240615845
gmv_to_pay_rate_14,713.4825774828593
demand_sum_14,685.7136561075846
cate_id,683.743417263031
pv_uv_sum_28,637.654849688212
observed_days_84,634.996318658193
is_observed,585.3238673210144
shortage_cost,357.33405621846515
qty_njhs_sum_28,332.0412181218465
jhs_pv_uv_sum_14,324.1695667902629
tbk_pv_uv_sum_14,271.41090059280396
critical_fractile,151.26978476842245
overage_cost,115.73241329193115
demand_pattern,18.67283344268799
cate_level_id,8.875816504160563
future_days_available,0.0
is_after_last_observed,0.0
