fold_id,method,shortage_units,overage_units,shortage_cost,overage_cost,total_cost,planned_units
fold_02,independent_newsvendor,12559.941782995535,11209.988438782573,210225.99953355468,127586.07587706544,337812.07541062013,51344.04665578704
fold_02,deterministic_coordinated,18006.699999999997,8463.3,272517.676,117464.46,389982.136,43150.600000000006
fold_02,stochastic_coordinated,17494.6,7951.2,269731.968,124573.74799999999,394305.716,43150.600000000006
fold_03,independent_newsvendor,138250.5566463298,6794.733245398535,2088170.9521770698,51114.47891766931,2139285.431094739,62112.176599068756
fold_03,deterministic_coordinated,145706.09999999998,6123.1,2178803.4080000003,50294.84,2229098.248,53985.0
fold_03,stochastic_coordinated,145540.4,5957.400000000001,2192158.832,51742.208,2243901.04,53985.0
fold_04,independent_newsvendor,33399.862448019296,28164.086450002153,533618.2237198901,282553.0629898999,816171.28670979,62105.22400198286
fold_04,deterministic_coordinated,52416.2,11718.5,786640.22,159212.99599999998,945853.216,26643.3
fold_04,stochastic_coordinated,51267.59999999999,10569.9,772686.6,160772.74,933459.34,26643.3
fold_05,independent_newsvendor,30489.303274109745,17350.009912463407,454434.707776036,128406.15128994283,582840.8590659788,84169.70663835366
fold_05,deterministic_coordinated,43881.3,13568.800000000001,627344.6880000001,113440.18800000001,740784.876,66996.5
fold_05,stochastic_coordinated,41901.4,11588.900000000001,614955.824,108263.032,723218.856,66996.5
fold_06,independent_newsvendor,20485.309070519248,28367.09807231628,320333.79190081736,281829.14278191753,602162.9346827349,78312.78900179703
fold_06,deterministic_coordinated,41605.3,14550.099999999999,600839.592,171901.86,772741.4519999999,43375.8
fold_06,stochastic_coordinated,39158.0,12102.800000000001,577300.412,160818.016,738118.4280000001,43375.799999999996
